영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
악마는 프라다를 입는다 2,드라마,데이빗 프랭클,"메릴 스트립, 앤 해서웨이, 에밀리 블런트, 스탠리 투치",20260429,https://image.tmdb.org/t/p/w500/28A1VUDML1RzENYNtIU1WkBLT9V.jpg,"전 세계 트렌드를 주도해 온 전설적인 패션 매거진 런웨이가 급변하는 미디어 시장 속에서 예기치 못한 위기에 직면한다. 런웨이를 지켜내려는 편집장 미란다와 20년 만에 신임 기획 에디터로 당당히 돌아온 앤디, 그리고 이제는 럭셔리 브랜드 임원이 되어 다시 나타난 에밀리까지 더 화려하고, 치열해진 뉴욕 패션계에서 주도권을 차지하기 위해 벌이는 이들의 새로운 이야기가 펼쳐진다!"
살목지,"공포(호러), 스릴러",이상민,"김혜윤, 이종원, 김준한, 김영성, 오동민, 윤재찬, 장다아, 최유민, 최서윤",20260408,https://image.tmdb.org/t/p/w500/uVJyWlSPCWftRUXRM6lxTqOzPY6.jpg,"기이한 소문이 끊이지 않는 저수지 살목지의 로드뷰 화면에 촬영한 적 없는 정체불명의 형체가 포착된다. 오늘 안에 반드시 재촬영을 끝내야 하는 상황 속에 살목지로 향한 PD 수인과 촬영팀. 촬영이 시작되자 행방이 묘연했던 선배 교식이 등장하고, 설명되지 않는 일들이 연달아 벌어지며 촬영팀은 점점 아비규환에 빠진다. 휘몰아치는 공포 속 기태는 수인을 향해 내달리지만 빠져나오려 할수록 이들은 점점 더 깊은 곳으로 끌려 들어가게 되는데…"
프로젝트 헤일메리,SF,필 로드,"라이언 고슬링, 산드라 휠러",20260318,https://image.tmdb.org/t/p/w500/qqGpVVZk2KD1lAvccgTU4Z6nh1H.jpg,눈을 떠보니 아득한 우주의 한가운데에서 깨어난 중학교 과학교사 그레이스는 희미한 기억 속에서 자신이 죽어가는 태양으로부터 지구와 인류를 살릴 마지막 희망으로 이곳에 왔다는 사실을 알게 된다. 잃어버린 기억으로 인해 모든 것이 혼란스러운 상황에서 그레이스는 우연히 우주 한복판에서 같은 목적으로 온 뜻밖의 존재 로키를 만나게 되고 그레이스와 로키는 각 두 행성의 운명을 건 마지막 미션을 수행하러 떠나게 되는데…
슈퍼 마리오 갤럭시,애니메이션,"아론 호바스, 마이클 젤레닉","크리스 프랫, 안야 테일러 조이, 잭 블랙, 찰리 데이, 브리 라슨",20260429,https://image.tmdb.org/t/p/w500/knaXOBDBecVBWZVup3zXaOoy23v.jpg,"브루클린의 배관공에서 세계를 구한 히어로로 레벨업한 형제 ‘마리오’와 ‘루이지’는 모래 왕국에서 임무를 수행하던 중, 길을 잃은 ‘요시’를 구출하며 특별한 우정을 쌓게 된다. 한편, 무너진 ‘쿠파’ 가문의 명예를 되찾기 위해 악의 왕자 ‘쿠파주니어’는 은하계의 수호자이자 치코들의 엄마 ‘로젤리나’를 납치하고, 버섯 왕국에 잡힌 아빠 ‘쿠파’를 되찾기 위해 왕국을 습격한다. 다시 찾아온 위기 속에서 마리오와 루이지, 피치, 키노피오 그리고 새로 합류한 요시까지 로젤리나도 구하고, 쿠파주니어의 비범한 계획을 막기 위해 넓은 갤럭시로 뛰어들게 되는데…"
왕과 사는 남자,"사극, 드라마",장항준,"유해진, 박지훈, 유지태, 전미도, 김민, 이준혁, 김수진, 오달수, 박순정, 강준, 박지윤, 백도겸, 정진운, 박지환, 이준혁, 안재홍, 장현성, 이시형, 홍성표, 김필, 최용, 김용석, 노경, 양승리, 한종훈, 임승대, 배성일, 정봉연, 박광설, 이형길, 오현수, 박완규, 송창규, 우정국, 권재환, 이윤혁, 김서현, 유인혁, 이정길, 박경관, 이태영, 최원석, 고경애, 김경미, 엄춘미, 정재훈, 박지민, 이은숙, 문하랑, 최이준, 현태이, 이인규, 조영애, 박상묵, 권영옥, 윤선희, 정한솔, 조준기, 정창석, 김해용, 최민숙, 문의영, 김회진, 계율이, 정모아, 김민수, 한대훈, 이진한, 박한샘, 이원행, 한재욱, 정찬호, 송지환, 김성민, 오단비, 박현경, 김유태, 김한준, 윤호중, 조승연",20260204,https://image.tmdb.org/t/p/w500/kkJB3SeUJp7Y0IXXLkv5QZHJGkH.jpg,"계유정난이 조선을 뒤흔들고 어린 왕 이홍위는 왕위에서 쫓겨나 유배길에 오른다. 한편, 강원도 영월 산골 마을 광천골의 촌장 엄흥도는 먹고 살기 힘든 마을 사람들을 위해 청령포를 유배지로 만들기 위해 노력한다. 그러나 촌장이 부푼 꿈으로 맞이한 이는 왕위에서 쫓겨난 이홍위였다. 유배지를 지키는 보수주인으로서 그의 모든 일상을 감시해야만 하는 촌장은 삶의 의지를 잃어버린 이홍위가 점점 신경 쓰이는데…"
짱구,드라마,"오성호, 정우","정우, 정수정, 신승호, 현봉식, 조범규, 권소현, 노동균, 김정훈",20260422,https://image.tmdb.org/t/p/w500/ayrF0Bb4VWUdi3wqBjq5j8wwaGD.jpg,"배우가 되고 싶어 서울 자취러가 된 부산 사나이 짱구. 전기세도 못 낼 만큼 팍팍한 서울살이 속에서 되는 일은 좀처럼 없다. 대사는 꼬이고, 서울말은 더 꼬이고, 연애도 밀당에 밀린다. 하지만 짱구는 넘어지면 털고 일어나고 쪽팔리면 더 크게 웃는다. 인생이 뜻대로 안 풀릴 때 이렇게 버티는 방법도 있다. 무겁지 않다. 그렇다고 가볍지도 않다. 웃기면서 뜨겁다."
란 12.3,다큐멘터리,이명세,,20260422,https://image.tmdb.org/t/p/w500/wU6UC10xiUSEfdlT0U1OZJqMa0A.jpg,"2024년 12월 3일 밤, 윤석열 대통령의 기습적인 비상계엄 선포로 평화로웠던 일상이 깨졌다. 다시 반복된 과거의 그날처럼, 무장한 군 병력은 헌법 기관을 무력화하려 하고 계엄에 반대하여 민주주의를 지키려는 시민과 국회의원들은 국회로 몰려간다. 분초를 다투는 상황 속, 이들의 숨 막히는 싸움이 벌어지는데…"
모탈 컴뱃 2,"액션, 어드벤처, 판타지",,"칼 어번, 루디 린, 제시카 맥나미, 조 타슬림",20260506,https://image.tmdb.org/t/p/w500/1NgBKiPrJzv1VHdEN8brdy59Rxo.jpg,"왕년의 할리우드 액션 스타 ‘쟈니 케이지’. 무기는 ‘잘생긴 얼굴’ 하나뿐인 그가 지구의 운명을 짊어진 어스렐름의 전사로 낙점되어, 자비 없는 선혈의 전장 ‘모탈 컴뱃’ 토너먼트 리그에 강제 투입된다. 죽을 때까지 결코 끝나지 않는 토너먼트 속 ‘쟈니 케이지’는 궁극의 악 ‘샤오 칸’에 맞서, 복수를 위해 칼날을 간 에데니아의 공주 ‘키타나’와 어스렐름의 정예 전사들과 함께 위험천만한 리얼 액션에 뛰어드는데…"
내 이름은,드라마,정지영,"염혜란, 신우빈, 최준우, 박지빈, 유준상, 오지호, 김규리, 김민재, 마현",20260415,https://image.tmdb.org/t/p/w500/DZdSpSf7o9I3DVoNvglMLgUor1.jpg,"얼마 전 실직한 앙네타. 새출발을 꿈꾸며 프로방스에서 오페어로 일하기 시작한 뒤, 넘치는 해방감 속에서 뜻밖의 깨달음을 얻게 된다. 유쾌하고 활기찬 앙네타. 하지만 그 사실을 알아채기란 쉽지 않다. 49세가 된 지금, 아이들이 떠난 집은 텅 비었고, 교통청 일은 매일 똑같아 자신이 마치 눈에 띄지 않는 존재처럼 느껴진다. 반면 남편은 얼음물 목욕과 값비싼 장비를 갖춘 사이클링을 즐기며 인생의 의미를 찾은 듯하다. 갑갑하고 단조로운 일상에서 벗어나기 위한 최후의 방법으로, 앙네타는 안전한 스웨덴에서의 삶을 뒤로하고 프랑스에서 스웨덴 남자아이를 돌보는 오페어로 일하기 위해 떠난다. 그런데 어린아이인 줄 알았던 에이나르가 치매에 걸린 괴짜 노인으로 밝혀지면서 오해는 곧 피할 수 없는 현실이 된다. 이를 계기로 뒤죽박죽이지만 삶을 긍정하는 특별한 우정이 싹트기 시작하고, 앙네타가 삶과 자기 자신에 대해 알고 있다고 믿었던 모든 것이 송두리째 뒤집힌다. 한 번뿐인 소중한 삶, 대체 어떻게 살아야 하는 걸까?"
올 그린스,"드라마, 범죄",,"미나미 사라, 요시다 미즈키",20260506,https://image.tmdb.org/t/p/w500/xbSZGbv6yxY4onrbuTJZYEFnhhW.jpg,"학교에서도, 집에서도 마음 붙일 곳 없는 보쿠 히데미. 예쁘고 쾌활하게 보이지만 말 못 할 사정을 가진 미루쿠. 꿈과 재능의 갈림길에서 좌절하는 이와쿠마코. 3인 3색 개성을 지닌 세 여고생, 초록으로 대동단결! 세 사람이 이루고자 하는 목표는 바로 이 답답한 시골 마을에서 탈출하기. 소녀들의 발칙하고 불미스러운 일확천금 계획이 시작된다."
